"contrast","state","gene","mean_response","rms_response","direction"
"T1D-control","beta_major","INS",-1.63336214257524,1.63537244507786,"down"
"T1D-control","duct_major","TFPI2",-1.59862030106385,1.61455727146579,"down"
"T1D-control","duct_major","SPP1",-0.414721321844981,1.50660707043082,"down"
"T1D-control","duct_major","PPY",1.18159613653424,1.44308417812897,"up"
"T1D-control","duct_major","IL32",1.28987461193622,1.4274717819121,"up"
"T1D-control","duct_major","CXCL6",1.36993156425775,1.40751438580831,"up"
"T1D-control","acinar","LYZ",1.25602589136338,1.33356321703157,"up"
"T1D-control","beta_major","PPY",1.14688744566713,1.28584635893916,"up"
"T1D-control","duct_major","CCL2",1.13959125658485,1.23610107834438,"up"
"T1D-control","duct_major","CXCL8",1.08202602936143,1.20057746197868,"up"
"T1D-control","duct_major","FGFBP1",-1.15058945459836,1.18134086397089,"down"
"T1D-control","duct_major","KRT8",-1.1574165983371,1.17832187977968,"down"
"T1D-control","acinar","LGALS2",1.0204979829897,1.14492277425527,"up"
"T1D-control","acinar","MT1H",1.06535568734558,1.13371694380193,"up"
"T1D-control","alpha","TTR",-1.08980901024302,1.08998314358023,"down"
"T1D-control","duct_major","CYP1B1",-1.08682937404962,1.08866874866458,"down"
"T1D-control","acinar","GSTA2",1.00443900990444,1.0820021004213,"up"
"T1D-control","duct_major","CD74",1.05484071021747,1.06824248160874,"up"
"T1D-control","beta_major","TTR",1.0634495659519,1.06445095735351,"up"
"T1D-control","duct_major","CRP",0.938709851934141,1.03138539070197,"up"
"T1D-control","duct_major","KRT19",-0.65629599749619,1.02249292603862,"down"
"T1D-control","duct_major","KRT18",-0.920062663887446,1.00194170443061,"down"
"T1D-control","acinar","OLFM4",0.980690970240304,0.998585693527434,"up"
"T1D-control","acinar","MT1F",0.885774418175167,0.975589279918339,"up"
"T1D-control","duct_major","MMP7",-0.522866910417824,0.96431480808331,"down"
"T1D-control","beta_major","PCSK2",0.940550814350298,0.950914614909807,"up"
"T1D-control","acinar","MT1M",0.93094306507859,0.947041993160592,"up"
"T1D-control","beta_major","IAPP",-0.888543810622567,0.930883114211781,"down"
"T1D-control","duct_major","SST",-0.160845923729489,0.921151840847995,"down"
"T1D-control","beta_major","FAP",0.891971121155767,0.91686182520295,"up"
"T1D-control","duct_major","KRT7",-0.414800303602327,0.908160126120182,"down"
"T1D-control","duct_major","LGALS1",-0.635560058338685,0.901037773071523,"down"
"T1D-control","acinar","MT2A",0.828423995055176,0.893936867387263,"up"
"T1D-control","duct_major","CXCL1",0.857473549378501,0.890844584231122,"up"
"T1D-control","acinar","MT1G",0.77854158237216,0.857295454391136,"up"
"T1D-control","alpha","PPY",0.799735375658737,0.823358502807068,"up"
"T1D-control","alpha","MRC1",0.802771246041936,0.805702830187859,"up"
"T1D-control","duct_major","KRT23",-0.430034548215016,0.7865388232731,"down"
"T1D-control","beta_major","IGFBP5",0.780832620279251,0.782871736507453,"up"
"T1D-control","duct_major","SERPINA1",0.528272952735338,0.76637197809292,"up"
"T1D-control","beta_major","COL1A1",0.679722158335165,0.751772451217151,"up"
"T1D-control","duct_major","APCS",0.64279017222211,0.747923994495268,"up"
"T1D-control","acinar","SPP1",-0.0940500100670678,0.744448392793504,"down"
"T1D-control","duct_major","CXCL3",0.666276876752154,0.7339497682326,"up"
"T1D-control","alpha","GCG",0.729689389205755,0.731163166882327,"up"
"T1D-control","duct_major","CCL20",0.605784512922982,0.727367688497879,"up"
"T1D-control","duct_major","AKR1B10",-0.64533299321537,0.725065816486574,"down"
"T1D-control","duct_major","SLPI",-0.531903057860313,0.723701999400719,"down"
"T1D-control","beta_major","TIMP1",0.701377134884404,0.719512635328289,"up"
"T1D-control","beta_major","HSPA1B",0.69615532342192,0.715238739655519,"up"
"T1D-control","beta_major","SST",0.507399406423569,0.700569063911315,"up"
"T1D-control","duct_major","LGALS2",0.166001023841971,0.689949673961469,"up"
"T1D-control","duct_major","CCN1",-0.468242845539639,0.688912351186768,"down"
"T1D-control","acinar","IL32",0.608960773374337,0.681994120528846,"up"
"T1D-control","acinar","SST",0.0727516709213564,0.677211203569475,"up"
"T1D-control","duct_major","RBP4",-0.580216345523373,0.672151585142785,"down"
"T1D-control","acinar","DUOXA2",0.615380853021399,0.672121012048996,"up"
"T1D-control","acinar","PRSS1",-0.613937469998566,0.660848533116678,"down"
"T1D-control","beta_major","VIM",0.61727575676694,0.643667539825242,"up"
"T1D-control","duct_major","ANXA1",0.0339812751484364,0.631752653403571,"up"
"T1D-control","acinar","MT1E",0.580548172661053,0.615639992831216,"up"
"T1D-control","duct_major","MT1F",0.277670258517366,0.615015594046143,"up"
"T1D-control","beta_major","SOCS3",0.598560282250244,0.601142588431621,"up"
"T1D-control","beta_major","DLK1",-0.583582878419061,0.597387192800422,"down"
"T1D-control","acinar","APOD",0.563235545778939,0.585571929933421,"up"
"T1D-control","acinar","MT1X",0.435132927687983,0.578227471674695,"up"
"T1D-control","acinar","PPY",0.332867657318388,0.576918528856827,"up"
"T1D-control","duct_major","MGP",0.142868453129888,0.56761014909398,"up"
"T1D-control","acinar","KRT7",0.00191188838970636,0.567388404493173,"up"
"T1D-control","acinar","MT1A",0.55724495175566,0.564892334797376,"up"
